model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
FMLP-Rec,44,len_medium,182053,0.0201534717911816,0.0080847051129311,0.0048110987092476,0.131
FMLP-Rec,44,len_short,188849,0.0190575539187393,0.007673025422944,0.0045768900538087,0.1307
FMLP-Rec,44,target_pop_head,299382,0.0354797549618881,0.0140542738212522,0.0082334450087101,0.1422
FMLP-Rec,44,target_pop_mid,213442,0.0022394842627036,0.0009617631014001,0.0006136718692745,0.1413
FMLP-Rec,44,target_pop_tail,45446,0.0001100206838885,3.648255044222126e-05,1.746117743820049e-05,0.1151
GRU4Rec,42,all,558270,0.0637630537195264,0.024939851140099,0.0144217466514517,0.56505
GRU4Rec,42,div_heterogeneous,184229,0.0515771132666409,0.0200402567921337,0.011525737780473,0.4948
GRU4Rec,42,div_homogeneous,184229,0.0757101216420867,0.0297119672826113,0.0172267129978904,0.5087
GRU4Rec,42,div_medium,189812,0.0639949002170568,0.025063579789038,0.0145101113136092,0.49485
GRU4Rec,42,len_long,187368,0.0597380555911361,0.0232436013611664,0.0133580032219169,0.48195
GRU4Rec,42,len_medium,182053,0.0642505204528351,0.025253527923356,0.0146742677355647,0.49315
GRU4Rec,42,len_short,188849,0.0672865622799167,0.0263204098359712,0.0152337141915447,0.51945
GRU4Rec,42,target_pop_head,299382,0.1014356240522142,0.0403867786484633,0.0237895882796971,0.51565
GRU4Rec,42,target_pop_mid,213442,0.0233131248770157,0.0081886322933227,0.004166871812005,0.5213
GRU4Rec,42,target_pop_tail,45446,0.0055670466047616,0.0018549064097489,0.000872871791921,0.4413
GRU4Rec,43,all,558270,0.0707489207731026,0.0280356454100089,0.016426454125811,0.56465
GRU4Rec,43,div_heterogeneous,184229,0.0579496170526898,0.0229857316882989,0.0134708608143463,0.49915
GRU4Rec,43,div_homogeneous,184229,0.0823377427006605,0.0325247645004757,0.0190013765069599,0.51185
GRU4Rec,43,div_medium,189812,0.0719237982846184,0.0285799452125465,0.0167959282624366,0.50175
GRU4Rec,43,len_long,187368,0.0686243115153067,0.0271189418400507,0.0158271586335785,0.49345
GRU4Rec,43,len_medium,182053,0.06982581995353,0.0275615457749035,0.0160997968316467,0.50115
GRU4Rec,43,len_short,188849,0.0737467500489809,0.0294021984516758,0.0173359518629615,0.5221
GRU4Rec,43,target_pop_head,299382,0.1128424554582439,0.0456741826712478,0.0273276048756937,0.52165
GRU4Rec,43,target_pop_mid,213442,0.0250981531282502,0.0087103336302279,0.0043715859925061,0.52365
GRU4Rec,43,target_pop_tail,45446,0.0078554768296439,0.0026026619693486,0.0012305480022252,0.4483
GRU4Rec,44,all,558270,0.0720045855947838,0.0286235858632801,0.0168307506579033,0.5656
GRU4Rec,44,div_heterogeneous,184229,0.0590732186572146,0.0236280777684434,0.0140185964300643,0.5026
GRU4Rec,44,div_homogeneous,184229,0.0864304751152098,0.0343874309307785,0.0202125403640398,0.5059
GRU4Rec,44,div_medium,189812,0.0705540218742756,0.0278778482274273,0.0162778700469238,0.5016
GRU4Rec,44,len_long,187368,0.0670285214124076,0.0264648811566288,0.0154242660232629,0.48795
GRU4Rec,44,len_medium,182053,0.0720614326597199,0.0284379070387563,0.0165764892198976,0.4998
GRU4Rec,44,len_short,188849,0.0768868249236162,0.0309443583879791,0.0184713167747299,0.52065
GRU4Rec,44,target_pop_head,299382,0.1143822941927036,0.046468792860253,0.0279219634436264,0.5206
GRU4Rec,44,target_pop_mid,213442,0.0257446987940517,0.0090260024608101,0.0045821608666755,0.52485
GRU4Rec,44,target_pop_tail,45446,0.0100998987809708,0.003107888891539,0.0012926182811028,0.4474
MetadataComiRecSA,42,all,558270,0.0716588747380299,0.0277819760192071,0.0159024016576805,0.50265
